,temp,atemp,hum,wind,temp_sq,hum_sq,wind_sq,temp_x_hum,temp_x_wind,atemp_x_hum,month,dayofweek,weekend,dayofyear,sin_doy_1,cos_doy_1,sin_doy_2,cos_doy_2,sin_doy_3,cos_doy_3,wcond_2,wcond_3,count
1,9.1,13.2,79.78,10.43,82.80999999999999,6364.8484,108.7849,725.9979999999999,94.913,1053.096,1,5,1,1,0.017213356155834685,0.9998518392091162,0.03442161162274574,0.9994074007397048,0.051619667223253764,0.998666816288476,True,False,982
2,9.9,12.7,68.91,16.16,98.01,4748.5881,261.1456,682.209,159.984,875.1569999999999,1,6,1,2,0.03442161162274574,0.9994074007397048,0.06880242680231986,0.9976303053065857,0.10310169744743485,0.9946708199115211,True,False,797
3,3.1,4.5,43.29,16.14,9.610000000000001,1874.0240999999999,260.49960000000004,134.199,50.034000000000006,194.805,1,0,0,3,0.051619667223253764,0.998666816288476,0.10310169744743485,0.9946708199115211,0.15430882066428117,0.9880226656636976,False,False,1351
4,3.2,5.6,58.45,10.42,10.240000000000002,3416.4025,108.57639999999999,187.04000000000002,33.344,327.32,1,1,0,4,0.06880242680231986,0.9976303053065857,0.13727877211326478,0.9905324521322229,0.2051044998686192,0.9787400799669153,False,False,1559
5,4.3,6.5,43.26,12.15,18.49,1871.4275999999998,147.6225,186.01799999999997,52.245,281.19,1,2,0,5,0.08596479873744647,0.9962981749346078,0.1712931441814776,0.9852201067560606,0.255353295116187,0.9668478136052775,False,False,1597
6,3.4,6.7,51.31,5.82,11.559999999999999,2632.7161,33.872400000000006,174.454,19.788,343.77700000000004,1,3,0,6,0.10310169744743485,0.9946708199115211,0.2051044998686192,0.9787400799669153,0.30492122465628907,0.9523775757303974,False,False,1603
7,3.1,5.4,49.37,10.97,9.610000000000001,2437.3968999999997,120.34090000000002,153.047,34.007000000000005,266.598,1,4,0,7,0.1202080448993527,0.9927487224577402,0.2386727660059501,0.9711000518829505,0.3536761221763716,0.9353679493131483,True,False,1505
8,1.8,3.1,53.05,17.34,3.24,2814.3025,300.6756,95.49,31.212,164.45499999999998,1,5,1,8,0.13727877211326478,0.9905324521322229,0.2719581575341055,0.9623090774541486,0.401487989205973,0.9158642882672872,True,False,957
9,0.7,0.8,42.98,23.53,0.48999999999999994,1847.2803999999996,553.6609000000001,30.085999999999995,16.471,34.384,1,6,1,9,0.15430882066428117,0.9880226656636976,0.30492122465628907,0.9523775757303974,0.4482293417404106,0.893918596519257,False,False,817
10,1.2,2.5,47.81,14.51,1.44,2285.7961,210.5401,57.372,17.412,119.525,1,0,0,10,0.1712931441814776,0.9852201067560606,0.3375228995941133,0.9413173175128471,0.4937755501599772,0.869589389346611,False,False,1319
11,1.9,4.6,67.95,7.94,3.61,4617.2025,63.043600000000005,129.105,15.086,312.57,1,1,0,11,0.1882267098432442,0.9821256058680006,0.3697245428906731,0.9291414114031743,0.5380051715382996,0.8429415373547828,True,False,1259
12,2.1,3.0,59.35,19.8,4.41,3522.4225,392.04,124.635,41.580000000000005,178.05,1,2,0,12,0.2051044998686192,0.9787400799669153,0.401487989205973,0.9158642882672872,0.5808002734538009,0.8140460935082178,False,False,1159
13,1.8,2.5,46.57,19.56,3.24,2168.7649,382.5935999999999,83.82600000000001,35.208,116.425,1,3,0,13,0.2219215130041655,0.9750645322571948,0.4327755925504312,0.901501684131884,0.6220467484408675,0.7829801036770628,False,False,1401
14,1.6,4.4,53.24,8.23,2.5600000000000005,2834.4976,67.7329,85.18400000000001,13.168000000000001,234.25600000000003,1,4,0,14,0.2386727660059501,0.9711000518829505,0.4635502709028509,0.886070621534138,0.6616346182422783,0.7498264012045686,False,False,1419
